strain_name	virus	NCBI_code	host	AustralianState_city	year_month_day	lat	long	Genotype
RRV|MN038251|P42115|Human|Cook_Islands|1980	RRV	MN038251	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038252|P42134|Human|Cook_Islands|1980	RRV	MN038252	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038253|P42161|Human|Cook_Islands|1980	RRV	MN038253	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038254|P42213|Human|Cook_Islands|1980	RRV	MN038254	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038255|P42273|Human|Cook_Islands|1980	RRV	MN038255	Human	Cook_Islands	1980	-21.21	-159.78	G3
RRV|MN038257|SHLS735|Human|WA_Pinjarra|1989	RRV	MN038257	Human	WA_Pinjarra	1989	-32.63	115.87	G3
RRV|MN038260|SW2089|An_annulipes|WA_Mandurah|1988_11_09	RRV	MN038260	An_annulipes	WA_Mandurah	1988-11-09	-32.55	115.75	G3
RRV|HM234643|DC5692|Ae_camptorhynchus|WA_PeelRegion|1995	RRV	HM234643	Ae_camptorhynchus	WA_PeelRegion	1995	-32.57	115.80	G2B
RRV|MN038203|DC266|Ae_camptorhynchus|WA_Mandurah|1994_06_22	RRV	MN038203	Ae_camptorhynchus	WA_Mandurah	1994-06-22	-32.55	115.75	G2B
RRV|MN038221|K3011|Ae_pseudonormanensis|WA_Nullagine|1990_02_16	RRV	MN038221	Ae_pseudonormanensis	WA_Nullagine	1990-02-16	-21.89	120.14	G2B
RRV|MN038258|SHLS2173|Human|WA_Bunbury|1989	RRV	MN038258	Human	WA_Bunbury	1989	-33.33	115.68	G2B
RRV|MN038259|SW876|Ae_camptorhynchus|WA_Waroona|1987_08_19	RRV	MN038259	Ae_camptorhynchus	WA_Waroona	1987-08-19	-32.84	115.92	G2B
RRV|MN038261|SW2191|Ae_camptorhynchus|WA_Harvey|1988_11_09	RRV	MN038261	Ae_camptorhynchus	WA_Harvey	1988-11-09	-33.07	115.89	G2B
RRV|MN038262|SW3181|Ae_camptorhynchus|WA_Murray|1989_09_21	RRV	MN038262	Ae_camptorhynchus	WA_Murray	1989-09-21	-32.69	115.95	G2B
RRV|MN038263|SW11747|Ae_camptorhynchus|WA_Mandurah|1990_10_24	RRV	MN038263	Ae_camptorhynchus	WA_Mandurah	1990-10-24	-32.55	115.75	G2B
RRV|MN038264|SW12358|Ae_camptorhynchus|WA_Harvey|1990_12_05	RRV	MN038264	Ae_camptorhynchus	WA_Harvey	1990-12-05	-33.07	115.89	G2B
